Title,Release_Year,Team,Rating,Plays,Backlogs,Wishlist,Genres,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Call of Duty: Modern Warfare 3,2011,"['Sledgehammer Games', 'Activision']",3.2,10000.0,492000.0,195000.0,"adventure, shooter, tactical",x360,Activision,9.03,4.28,0.13,1.32,14.76
Call of Duty: Modern Warfare 3,2011,"['Sledgehammer Games', 'Activision']",3.2,10000.0,492000.0,195000.0,"adventure, shooter, tactical",ps3,Activision,5.54,5.82,0.49,1.62,13.46
Call of Duty: Modern Warfare 3,2011,"['Sledgehammer Games', 'Activision']",3.2,10000.0,492000.0,195000.0,"adventure, shooter, tactical",pc,Activision,0.41,0.98,0.0,0.33,1.72
Call of Duty: Modern Warfare 3,2011,"['Sledgehammer Games', 'Activision']",3.2,10000.0,492000.0,195000.0,"adventure, shooter, tactical",wii,Activision,0.6,0.21,0.0,0.08,0.89
The Legend of Zelda: Twilight Princess,2006,"['Nintendo', 'Nintendo EAD Software Development Group No.3']",4.1,6000.0,1100.0,466000.0,"adventure, rpg",wii,Nintendo,3.83,2.19,0.6,0.7,7.31
The Legend of Zelda: Twilight Princess,2006,"['Nintendo', 'Nintendo EAD Software Development Group No.3']",4.1,6000.0,1100.0,466000.0,"adventure, rpg",gc,Nintendo,1.15,0.36,0.04,0.04,1.59
Super Mario RPG: Legend of the Seven Stars,1996,"['Square', 'Nintendo']",4.0,4400.0,2300.0,858000.0,"adventure, platform, rpg",snes,Nintendo,0.66,0.0,1.45,0.03,2.14
DmC: Devil May Cry,2013,"['Ninja Theory', 'Capcom']",3.0,6300.0,1200.0,448000.0,"adventure, brawler",ps3,Capcom,0.24,0.28,0.19,0.12,0.82
DmC: Devil May Cry,2013,"['Ninja Theory', 'Capcom']",3.0,6300.0,1200.0,448000.0,"adventure, brawler",x360,Capcom,0.26,0.13,0.01,0.04,0.44
DmC: Devil May Cry,2013,"['Ninja Theory', 'Capcom']",3.0,6300.0,1200.0,448000.0,"adventure, brawler",ps4,Capcom,0.12,0.13,0.0,0.05,0.3
DmC: Devil May Cry,2013,"['Ninja Theory', 'Capcom']",3.0,6300.0,1200.0,448000.0,"adventure, brawler",xone,Capcom,0.08,0.04,0.0,0.01,0.13
Dragon Age: Origins,2009,"['Electronic Arts', 'BioWare']",4.0,6100.0,1700.0,534000.0,rpg,x360,Electronic Arts,1.76,0.56,0.03,0.22,2.57
Dragon Age: Origins,2009,"['Electronic Arts', 'BioWare']",4.0,6100.0,1700.0,534000.0,rpg,ps3,Electronic Arts,0.96,0.44,0.08,0.22,1.69
Dragon Age: Origins,2009,"['Electronic Arts', 'BioWare']",4.0,6100.0,1700.0,534000.0,rpg,pc,Electronic Arts,0.0,0.46,0.0,0.06,0.51
Vagrant Story,2000,"['Square', '(Archive) Square Product Development Division 4']",4.0,1000.0,1600.0,889000.0,"adventure, rpg",ps,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
